"Playlist URL","https://www.youtube.com/playlist?list=PLDKhPq_cLoCQ"
"Playlist title","ALL"
"Playlist author","Tony Noga"
"Videos","1386"

"Video ID","Title","Channel","Added At","Published At","Duration","Thumbnail URL"
"oWwSGKy-Mjs","All Nighter","The Comrads - Topic","2026-09-23","2016-03-24","3:32","https://i.ytimg.com/vi/oWwSGKy-Mjs/hqdefault.jpg"
"nI7Whnpb1wQ","That There","The Comrads - Topic","2026-09-23","2016-03-24","4:17","https://i.ytimg.com/vi/nI7Whnpb1wQ/hqdefault.jpg"
"xRF7X9zj0Ac","Bom Bom","The Comrads - Topic","2026-09-23","2016-03-24","3:34","https://i.ytimg.com/vi/xRF7X9zj0Ac/hqdefault.jpg"
"bbbem9DMZC0","Hey You","The Comrads - Topic","2026-09-23","2017-02-18","4:17","https://i.ytimg.com/vi/bbbem9DMZC0/hqdefault.jpg"
"pR6aHI3FOsc","B*tch Made N*ggas","The Comrads - Topic","2026-09-23","2017-02-18","4:05","https://i.ytimg.com/vi/pR6aHI3FOsc/hqdefault.jpg"
"NgmSEmKuGvo","Speak On It","The Comrads - Topic","2026-09-23","2016-03-24","4:17","https://i.ytimg.com/vi/NgmSEmKuGvo/hqdefault.jpg"
"DJys2GRL8eE","Click Click Bang","The Comrads - Topic","2026-09-23","2016-03-24","3:17","https://i.ytimg.com/vi/DJys2GRL8eE/hqdefault.jpg"
"l-2JxbIkhI0","Wanna Be Gangstas","The Comrads - Topic","2026-09-23","2016-03-24","3:58","https://i.ytimg.com/vi/l-2JxbIkhI0/hqdefault.jpg"
"fzvKL8EhFqU","Playa Hata","The Comrads - Topic","2026-09-23","2017-02-18","3:12","https://i.ytimg.com/vi/fzvKL8EhFqU/hqdefault.jpg"
"_76RAaK9jtc","Get At Me (Call Me)","The Comrads - Topic","2026-09-23","2017-02-20","4:18","https://i.ytimg.com/vi/_76RAaK9jtc/hqdefault.jpg"
"E_CGrSzJ7y8","Die Hard","The Comrads - Topic","2026-09-23","2017-02-19","3:13","https://i.ytimg.com/vi/E_CGrSzJ7y8/hqdefault.jpg"
"k8FScKEayU0","Game Recognize Game","The Comrads - Topic","2026-09-23","2017-02-19","3:36","https://i.ytimg.com/vi/k8FScKEayU0/hqdefault.jpg"
"oOY8io2_rk0","Westside Connect OGs","The Comrads - Topic","2026-09-23","2017-02-20","4:05","https://i.ytimg.com/vi/oOY8io2_rk0/hqdefault.jpg"
